"TIME","GEO","NRG_BAL","INDIC_NRG","Value","Flag and Footnotes"
"2005M04","Cyprus","Imports","Average price - USD per barrel",":",""
"2005M04","Latvia","Imports","Volume - thousand barrels",":",""
"2005M04","Latvia","Imports","Average price - USD per barrel",":",""
"2005M04","Lithuania","Imports","Volume - thousand barrels","5,948.92",""
"2005M04","Lithuania","Imports","Average price - USD per barrel","45.23",""
"2005M04","Luxembourg","Imports","Volume - thousand barrels",":",""
"2005M04","Luxembourg","Imports","Average price - USD per barrel",":",""
"2005M04","Hungary","Imports","Volume - thousand barrels","2,636.00",""
"2005M04","Hungary","Imports","Average price - USD per barrel","45.76",""
"2005M04","Malta","Imports","Volume - thousand barrels",":",""
"2005M04","Malta","Imports","Average price - USD per barrel",":",""
"2005M04","Netherlands","Imports","Volume - thousand barrels","28,741.00",""
"2005M04","Netherlands","Imports","Average price - USD per barrel","46.93",""
"2005M04","Austria","Imports","Volume - thousand barrels","4,471.00",""
"2005M04","Austria","Imports","Average price - USD per barrel","53.24",""
"2005M04","Poland","Imports","Volume - thousand barrels","9,409.24",""
"2005M04","Poland","Imports","Average price - USD per barrel","48.45",""
"2005M04","Portugal","Imports","Volume - thousand barrels","8,716.12",""
"2005M04","Portugal","Imports","Average price - USD per barrel","52.00",""
"2005M04","Romania","Imports","Volume - thousand barrels","0.00",""
"2005M04","Romania","Imports","Average price - USD per barrel",":","z"
"2005M04","Slovenia","Imports","Volume - thousand barrels",":",""
"2005M04","Slovenia","Imports","Average price - USD per barrel",":",""
"2005M04","Slovakia","Imports","Volume - thousand barrels","3,240.30",""
"2005M04","Slovakia","Imports","Average price - USD per barrel","45.73",""
"2005M04","Finland","Imports","Volume - thousand barrels","6,140.50",""
"2005M04","Finland","Imports","Average price - USD per barrel","47.43",""
"2005M04","Sweden","Imports","Volume - thousand barrels","15,298.00",""
"2005M04","Sweden","Imports","Average price - USD per barrel","48.83",""
"2005M04","Norway","Imports","Volume - thousand barrels",":",""
"2005M04","Norway","Imports","Average price - USD per barrel",":",""
"2005M04","United Kingdom","Imports","Volume - thousand barrels","30,314.62",""
"2005M04","United Kingdom","Imports","Average price - USD per barrel","49.65",""
"2005M04","Montenegro","Imports","Volume - thousand barrels",":",""
"2005M04","Montenegro","Imports","Average price - USD per barrel",":",""
"2005M04","Türkiye","Imports","Volume - thousand barrels",":",""
"2005M04","Türkiye","Imports","Average price - USD per barrel",":",""
"2005M04","Moldova","Imports","Volume - thousand barrels",":",""
"2005M04","Moldova","Imports","Average price - USD per barrel",":",""
"2005M05","European Union - 27 countries (from 2020)","Imports","Volume - thousand barrels",":",""
"2005M05","European Union - 27 countries (from 2020)","Imports","Average price - USD per barrel",":",""
"2005M05","Belgium","Imports","Volume - thousand barrels","17,812.00",""
"2005M05","Belgium","Imports","Average price - USD per barrel","43.61",""
"2005M05","Bulgaria","Imports","Volume - thousand barrels","0.00",""
"2005M05","Bulgaria","Imports","Average price - USD per barrel",":","z"
"2005M05","Czechia","Imports","Volume - thousand barrels","3,993.06",""
"2005M05","Czechia","Imports","Average price - USD per barrel","46.47",""
"2005M05","Denmark","Imports","Volume - thousand barrels","2,353.00",""
"2005M05","Denmark","Imports","Average price - USD per barrel","49.18",""
"2005M05","Germany (until 1990 former territory of the FRG)","Imports","Volume - thousand barrels","72,531.00",""
"2005M05","Germany (until 1990 former territory of the FRG)","Imports","Average price - USD per barrel","46.45",""
"2005M05","Estonia","Imports","Volume - thousand barrels",":",""
"2005M05","Estonia","Imports","Average price - USD per barrel",":",""
"2005M05","Ireland","Imports","Volume - thousand barrels","2,375.94",""
"2005M05","Ireland","Imports","Average price - USD per barrel","48.75",""
"2005M05","Greece","Imports","Volume - thousand barrels","11,724.00",""
"2005M05","Greece","Imports","Average price - USD per barrel","45.68",""
"2005M05","Spain","Imports","Volume - thousand barrels","37,101.85",""
"2005M05","Spain","Imports","Average price - USD per barrel","44.85",""
"2005M05","France","Imports","Volume - thousand barrels","55,293.44",""
"2005M05","France","Imports","Average price - USD per barrel","47.45",""
"2005M05","Croatia","Imports","Volume - thousand barrels",":",""
"2005M05","Croatia","Imports","Average price - USD per barrel",":",""
"2005M05","Italy","Imports","Volume - thousand barrels","54,098.23",""
"2005M05","Italy","Imports","Average price - USD per barrel","46.14",""
"2005M05","Cyprus","Imports","Volume - thousand barrels",":",""
"2005M05","Cyprus","Imports","Average price - USD per barrel",":",""
"2005M05","Latvia","Imports","Volume - thousand barrels",":",""
"2005M05","Latvia","Imports","Average price - USD per barrel",":",""
"2005M05","Lithuania","Imports","Volume - thousand barrels","4,999.44",""
"2005M05","Lithuania","Imports","Average price - USD per barrel","42.81",""
"2005M05","Luxembourg","Imports","Volume - thousand barrels",":",""
"2005M05","Luxembourg","Imports","Average price - USD per barrel",":",""
"2005M05","Hungary","Imports","Volume - thousand barrels","3,602.00",""
"2005M05","Hungary","Imports","Average price - USD per barrel","43.54",""
"2005M05","Malta","Imports","Volume - thousand barrels",":",""
"2005M05","Malta","Imports","Average price - USD per barrel",":",""
"2005M05","Netherlands","Imports","Volume - thousand barrels","35,159.00",""
"2005M05","Netherlands","Imports","Average price - USD per barrel","45.05",""
"2005M05","Austria","Imports","Volume - thousand barrels","5,126.00",""
"2005M05","Austria","Imports","Average price - USD per barrel","49.25",""
"2005M05","Poland","Imports","Volume - thousand barrels","9,237.96",""
"2005M05","Poland","Imports","Average price - USD per barrel","43.92",""
"2005M05","Portugal","Imports","Volume - thousand barrels","9,293.36",""
"2005M05","Portugal","Imports","Average price - USD per barrel","46.46",""
"2005M05","Romania","Imports","Volume - thousand barrels","0.00",""
"2005M05","Romania","Imports","Average price - USD per barrel",":","z"
"2005M05","Slovenia","Imports","Volume - thousand barrels",":",""
"2005M05","Slovenia","Imports","Average price - USD per barrel",":",""
"2005M05","Slovakia","Imports","Volume - thousand barrels","3,352.00",""
"2005M05","Slovakia","Imports","Average price - USD per barrel","43.44",""
"2005M05","Finland","Imports","Volume - thousand barrels","5,629.42",""
"2005M05","Finland","Imports","Average price - USD per barrel","45.78",""
"2005M05","Sweden","Imports","Volume - thousand barrels","12,986.00",""
"2005M05","Sweden","Imports","Average price - USD per barrel","45.60",""
"2005M05","Norway","Imports","Volume - thousand barrels",":",""
"2005M05","Norway","Imports","Average price - USD per barrel",":",""
